#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:6
O0*k3	Basic+	药理学::药物	塞来昔布	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>选择性COX2抑制药</b></span></li><li>1. 不影响TXA2，抑制PGI2。</li><li>2. 肾损害。血栓形成倾向慎用。</li></ul>"	
8/jC5	问答题	药理学::药物	阿托品	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>M受体拮抗药（M1-M5）</b></span></li><li>体内过程：</li><ul><li><div>对M受体选择性高（对各种亚型选择性低）、大剂量也可阻断N<sub>N</sub>受体。</div></li><li><div>阿托品的药理作用广泛，各器官对阿托品的敏感性不一样，随剂量增加依次为：<b>腺体分泌减少—瞳孔扩大和调节麻痹—心率增快—胃肠道和膀胱平滑肌抑制—中枢兴奋作用</b><b>—中枢抑制作用</b></div></li></ul><li>药理作用</li><ol><li><span style=""color: red;"">抑制腺体分泌</span><br></li><li><span style=""color: red;"">眼</span>（扩瞳，升高眼内压，调节痉挛）<br></li><li><span style=""color: red;"">解除平滑肌痉挛</span>（胃肠道&gt;逼尿肌&gt;胆管支气管输尿管）<br></li><li><span style=""color: red;"">心血管系统</span>（解除迷走神经对心脏的抑制）<br></li><li><span style=""color: red;"">CNS<br></span></li><li><span style=""color: red;"">拮抗乙酰胆碱<br></span></li></ol><li>临床用途</li><ol><li>麻醉前给药，严重盗汗，流涎症</li><li>虹膜睫状体炎，检查眼底，验光配镜</li><li>各种内脏绞痛,尿遗症</li><li>缓慢性心律失常、感染性休克</li><li>中毒量先兴奋后抑制中枢</li><li>解救有机磷酸酯类中毒<br></li></ol><li>不良反应和副作用</li><ol><li>口干，皮肤干燥</li><li>畏光，视近物模糊（青光眼禁用）</li><li>小便困难、前列腺肥大者，幽门梗阻者禁用</li><li>心悸、颜面潮红</li><li>过量中毒表现为中枢症状</li></ol><ul><ul><li>（先兴奋）烦躁不安、幻觉、谵妄</li><li>（后抑制）昏迷、呼吸麻痹等</li></ul></ul><li>&nbsp;中毒解救<br></li><ul><li>用<b><span style=""color: rgb(170, 0, 0);"">镇静药或抗惊厥药</span></b>对抗其<b>中枢兴奋</b>症状<br></li><li>用胆碱受体激动药<span style=""color: red;"">毛果芸香碱、毒扁豆碱、新斯的明</span>对抗其<b>外周作用</b>。毒扁豆碱能透过血-脑屏障对抗其中枢症状，故效果比新斯的明好<br></li><li>呼吸抑制可同时采用人工呼吸和吸氧<br></li></ul></ul>"	
>lH04	问答题	药理学::药物	乙酰胆碱	<ul><li>M受体激动药（M1-M5）</li><li>内源性神经递质</li><li>药理作用</li><ul><li>心血管作用</li><ul><li>血管内皮细胞M3→NO释放→舒张血管</li><li>【心房】减弱心肌收缩力（负性肌力作用）</li><li>【窦房结】减慢心率（负性频率作用）</li><li>减慢房室结和浦肯野纤维传导（负性传导作用）</li><li>缩短心房不应期、缩短动作电位时程</li></ul><li>胃肠道：兴奋胃肠道平滑肌→促进分泌、蠕动→引起恶心呕吐</li><li>泌尿道：泌尿道平滑肌蠕动增加</li><li>其他：</li><ul><li>腺体分泌</li><li>瞳孔缩小、瞳孔括约肌收缩、睫状肌收缩→调节近视</li><li>收缩支气管</li><li>不通过BBB→无中枢作用</li></ul></ul></ul><div><br></div>	
l@B(A	问答题	药理学::药物	异丙托溴铵	M2 M4受体拮抗药（M2:窦房结、心房、房室结、心室）（M4:CNS）	
dt,4N	问答题	药理学::药物	筒箭毒碱	"<ul><li>Nm受体拮抗药，<span style=""color: rgb(170, 0, 0);""><b>非除极化型肌松药</b></span>（竞争性肌松药）</li><li>体内过程：竞争性阻断Nm-R（阻断神经肌接头信号传递）</li><li>临床应用：主要用于较长时间的手术</li><li>给药：Iv作用持续20-40min</li><li>不良反应：有神经节阻断和促组胺释放作用。血压下降，<b>心率减慢，支气管痉挛</b></li><li><b><b><span style=""color: red;"">可用新斯的明解救</span></b><br></b></li></ul>"	
P*t<E	问答题	药理学::药物	曲美芬	Nn受体拮抗药（阻断外周神经神经元去极化、儿茶酚胺释放）	
fDg/B	问答题	药理学::药物	烟碱	<ul><li>烟碱型受体激动药（Nm Nn CNS）</li><li>刚开始短暂兴奋Nn受体，随后可持续抑制。</li><li>短暂兴奋神经肌肉接头Nm受体，随后迅速阻断，产生肌肉麻痹</li></ul>	
yR)x)|JE[$	问答题	药理学::药物	醋甲胆碱	"<ul><li>胆碱受体激动药</li><li>对<b style=""color: rgb(170, 0, 0);"">心血管系统</b>的M胆碱受体有较高的选择性</li><li>治疗口腔黏膜干燥症</li><li>禁忌：<b>支气管哮喘、冠状动脉缺血、溃疡病</b>患者</li></ul>"	
"s9p+jM;t}#"	问答题	药理学::药物	卡巴胆碱	"<span style=""font-size:large"">可用于术后腹胀气和尿潴留</span><ul><li>作用时间长，激动M、N受体</li><li>对M受体的选择性和乙酰胆碱类似（低）</li><li><b style=""color: rgb(170, 0, 0);"">仅用于皮下注射</b></li><li>治疗青光眼<br></li><li>禁忌：<b>支气管哮喘、冠状动脉缺血、溃疡病</b>患者</li></ul>"	
Ce]M3i7Z)>	问答题	药理学::药物	"<span style=""color: rgb(170, 0, 0);""><b>毛果芸香碱</b></span>"	"<ul><li>M受体激动药（<span style=""color: red;"">眼和腺体最明显</span>）</li><li>体内过程：脂溶性高，吸收好，分布广，肾排泄</li><ul><li>作用迅速、温和、短暂</li><li>水溶液稳定、刺激性小</li></ul><li>药理作用</li><ul><li><span style=""color: rgb(170, 0, 0);""><b>降低眼内压</b></span>：缩瞳→虹膜根部变薄→前房角间隙扩大→房水容更易进入巩膜静脉窦</li><li><span style=""color: rgb(170, 0, 0);""><b>缩瞳</b></span>（兴奋瞳孔括约肌（M受体）→瞳孔缩小）</li><li><span style=""color: rgb(170, 0, 0);""><b>调节痉挛</b></span>：就是让人近视<br></li><li>增加汗腺和唾液腺的分泌</li></ul><li>临床应用</li><ul><li>青光眼</li><li>虹膜睫状体炎（与扩瞳药交替使用，防止虹膜与晶状体黏连）</li><li>其他（解救抗胆碱药阿托品中毒）</li></ul><li>不良反应：M受体过度兴奋→阿托品</li><li>药物滴眼时：压迫眼内眦，防止药物流入鼻腔出现不良反应</li></ul>"	
o,;m$F$+[/	问答题	药理学::药物	毒蕈碱	<ul><li>经典的<b>M胆碱受体激动药</b></li><li>食用毒蘑菇中毒症状：</li><ul><li>流涎、流泪（唾液腺、泪腺M3）</li><li>恶心、呕吐（胃壁细胞M1→分泌胃酸）</li><li>视觉障碍（瞳孔括约肌M）</li><li>腹部绞痛（胃肠道平滑肌M3）</li><li>支气管痉挛（支气管平滑肌M3）</li><li>心动过缓→血压下降→休克（心房肌、心室肌、窦房结、房室结M2受体→负性频率、负性传导、负性肌力作用）</li></ul></ul>	
